Site,Start_Date,Logger_SN,h_0,n,S,R_0,WP,WP_r2,CSA,CSA_r2
SHADY,8/7/2025,21773574,19,0.013,0.0022,9.29458,WP.SHADY = -0.0436h2 + 12.034h + 35.957,0.9669,CSA.SHADY = 1.3076h2 + 73.342h + 447.54,1
DC116,6/13/2025,21821536,32,2.2,0.013,61.1916,WP.DC116 = -0.0236h2 + 4.6381h + 534.69,0.9154,CSA.DC116 = 0.0002h4 - 0.0139h3 + 0.4598h2 + 513.49h + 23665,1
DC20,6/23/2025,21773580,58,0.047,0.0021,45.0888,WP.DC20 = 12.211h + 338.14,0.7323,CSA.DC20 = -0.0885h3 + 14.053h2 + 281.56h + 842.56,0.9995
DC10,6/25/2025,21773578,23,0.11,0.033,23.5881,WP.DC10 = 0.00007h3 + 0.0203h2 + 5.0659h + 524.35,0.9736,CSA.DC10 = 0.0079h3 + 2.4656h2 + 247.86h + 8289.9,0.9974
BR55,6/30/2025,21773581,63,0.17,0.017,49.3252,WP.BR55 = -0.052h2 + 11.559h + 189.75,0.9961,CSA.BR55 = -0.0472h3 + 8.4298h2 + 196.07h + 1090.7,0.9973
EFAR,7/8/2025,22309887,55.5,0.043,0.03,36.0762,WP.EFAR = -0.0506h2 + 12.198h + 160.69,0.9719,CSA.EFAR = -0.0245h3 + 6.8857h2 + 124.37h + 673.57,0.9998
MON,7/10/2025,22309889,11,0.17,0.031,3.81654,WP.MON = -0.0014h4 + 0.111h3 - 2.8422h2 + 34.473h + 194.9,0.9857,CSA.MON = 0.006h4 - 0.4309h3 + 13.738h2 + 187.57h + 461.77,1
GSW,8/13/2025,2023065,34,0.021,0.032,19.5765,WP.GSW = -0.1495h2 + 15.135h + 20.284,0.9762,CSA.GSW = -0.0694h3 + 8.5316h2 - 0.8675h - 17.619,0.9999
NFFR,8/14/2025,9773630,20,0.052,0.0084,35.8997,WP.NFFR = -0.0003h3 + 0.1416h2 + 15.192h + 286.68,0.9561,CSA.NFFR = 0.1035h3 - 5.5613h2 + 646.81h + 11607,0.9659
MAR,8/15/2025,2026005,35,0.036,0.019,21.6806,WP.MAR = 0.000006h4 - 0.0012h3 + 0.0791h2 + 6.0092h + 62.038,0.9994,CSA.MAR = 0.0006h4 - 0.0737h3 + 4.6675h2 + 96.475h + 250.65,0.9862
CAT,8/28/2025,9773640,48,0.032,0.041,55.8432,WP.CAT = 0.0013h3 - 0.1165h2 + 4.029h + 401.13,0.9946,CSA.CAT = 2.237h2 + 285.09h + 7401,0.9996
BUT,9/11/2025,9773627,34,0.017,0.01,24.315,WP.BUT = 0.0032h3 - 0.6757h2 + 42.024h + 652.75,0.989,CSA.BUT = 5.0538h2 + 648.17h + 6798.8,0.9994
WBUT,9/3/2025,9763525,38,0.11,0.031,23.6158,WP.WBUT = -0.00006h3 + 0.0126h2 + 3.6795h + 99.273,0.9028,CSA.WBUT = -0.0003h4 + 0.0445h3 + 1.1027h2 + 46.012h + 841.3,0.9957
MCL,9/10/2025,9773634,32,0.033,0.009,36.8821,WP.MCL = 6.863h + 413.17,0.7244,CSA.MCL = -0.0582h3 + 12.539h2 + 323.06h + 2067.7,1