Starting wetted,,x1,,x2,,x3,,x4,,x5,,x6,,L,h(0),,,,,,,
width segments (at bankfull):,,113,,226,,226,,226,,226,,113,,105,32,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Left_bank,p1,d1,p2,d2,p3,d3,p4,d4,p5,d5,p6,Right_bank,,,transducer_depth,wetted_perim,cross_sectional_area,,,TDepth,WP
at bankfull,0,,113,,150.5,,140,,118,,120.5,,0,,,,,,,,137,1233.416646
,,,,,,,,,,,,,,,,,,,,,24,918.6977514
,,159.8061325,,229.0900478,,226.2437844,,227.0682717,,226.013827,,165.1945822,,,,137,1233.416646,131899.25,,,19,661.08414
,,,0,,37.5,,27,,5,,7.5,,,,,,,,,,16.5,610.7808817
,,,,,,,,,,,,,,,,,,,,,-3,290.3889978
,,,,229.0900478,,226.2437844,,227.0682717,,226.013827,,10.28182047,,,,24,918.6977514,16580.87448,,,-13.5,0
,,,,,32.5,,22,,0,,2.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,198.5447081,,226.2437844,,226.013827,,10.28182047,,,,,,19,661.08414,12112.76383,,,,
,,,,,30,,19.5,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,183.2720382,,226.2437844,,201.265059,,,,,,,,16.5,610.7808817,10258.60227,,,,
,,,,,10.5,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,64.14521338,,226.2437844,,,,,,,,,,-3,290.3889978,1518.72,,,,
,,,,,0,,,,,,,,,,,,,,,,TDepth,CSA
,,,,,,,,,,,,,,,,,,,,,137,131899.25
,,,,,,,,,,,,,,,,-13.5,0,0,,,24,16580.87448
,,,,,,,,,,,,,,,,,,,,,19,12112.76383
,,,,,,,,,,,,,,,,,,,,,16.5,10258.60227
,,,,,,,,,,,,,,,,,,,,,-3,1518.72
,,,,,,,,,,,,,,,,,,,,,-13.5,0